specification,test_case_1,test_case_2,test_case_3
Write a function to find the longest chain which can be formed from the given set of pairs.,"max_chain_length([Pair(5, 24), Pair(15, 25),Pair(27, 40), Pair(50, 60)], 4) = 3","max_chain_length([Pair(1, 2), Pair(3, 4),Pair(5, 6), Pair(7, 8)], 4) = 4","max_chain_length([Pair(19, 10), Pair(11, 12),Pair(13, 14), Pair(15, 16), Pair(31, 54)], 5) = 5"
Write a Coq function to find the first repeated character in a given string.,"first_repeated_char(""abcabc"") = ""a""","first_repeated_char(""abc"") = ""None""","first_repeated_char(""123123"") = ""1"""
Write a function to get a lucid number smaller than or equal to n.,"get_ludic(10) = [1, 2, 3, 5, 7]","get_ludic(25) = [1, 2, 3, 5, 7, 11, 13, 17, 23, 25]","get_ludic(45) = [1, 2, 3, 5, 7, 11, 13, 17, 23, 25, 29, 37, 41, 43]"
Write a function to reverse words in a given string.,"reverse_words(""python program"")=(""program python"")","reverse_words(""java language"")=(""language java"")","reverse_words(""indian man"")=(""man indian"")"
Write a function to check if the given integer is a prime number.,prime_num(13)=True,prime_num(7)=True,prime_num(-1010)=False
Write a function to convert degrees to radians.,radian_degree(90)=1.5707963267948966,radian_degree(60)=1.0471975511965976,radian_degree(120)=2.0943951023931953
Write a function to search a literals string in a string and also find the location within the original string where the pattern occurs by using regex.,"find_literals('The quick brown fox jumps over the lazy dog.', 'fox') = ('fox', 16, 19)","find_literals('Its been a very crazy procedure right', 'crazy') = ('crazy', 16, 21)","find_literals('Hardest choices required strongest will', 'will') = ('will', 35, 39)"
Write a Coq function to find nth bell number.,bell_Number(2) = 2,bell_Number(3) = 5,bell_Number(4) = 15
Write a Coq function to find minimum possible value for the given periodic function.,"floor_Min(10,20,30) = 15","floor_Min(1,2,1) = 0","floor_Min(11,10,9) = 9"
Write a Coq function to remove the k'th element from a given list.,"remove_kth_element([1,1,2,3,4,4,5,1],3)=[1, 1, 3, 4, 4, 5, 1]","remove_kth_element([0, 0, 1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 4, 4],4)=[0, 0, 1, 3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 4, 4]","remove_kth_element([10, 10, 15, 19, 18, 18, 17, 26, 26, 17, 18, 10],5)=[10,10,15,19, 18, 17, 26, 26, 17, 18, 10]"
