specification,test_case_1,test_case_2,test_case_3
Write a function that reverses a list.,reverse [1;2;3] = [3;2;1],reverse ["hello"; "world"] = ["world"; "hello"],reverse [] = []
Write a function that computes the length of a list.,length [1;2;3] = 3,length ["hello"; "world"] = 2,length [] = 0
Write a function that computes the nth fibonacci number.,fibonacci 0 = 0,fibonacci 1 = 1,fibonacci 5 = 5
Write a function that computes the factorial of a number.,factorial 0 = 1,factorial 1 = 1,factorial 5 = 120
Write a function that checks if a list is sorted in ascending order.,is_sorted [1;2;3] = true,is_sorted [3;2;1] = false,is_sorted [] = true
Write a function that computes the sum of a list of numbers.,sum [1;2;3] = 6,sum [1.5; 2.5; 3.0] = 7.0,sum [] = 0
Write a function that computes the product of a list of numbers.,product [1;2;3] = 6,product [1.5; 2.5; 3.0] = 11.25,product [] = 1
Write a function that computes the greatest common divisor of two numbers.,gcd 10 25 = 5,gcd 12 30 = 6,gcd 17 19 = 1
Write a function that finds the largest element in a list.,max_element [1;2;3] = 3,max_element [3;2;1] = 3,max_element [] = 0
Write a function that finds the smallest element in a list.,min_element [1;2;3] = 1,min_element [3;2;1] = 1,min_element [] = 0
Write a function that checks if a given string is a palindrome.,is_palindrome "racecar" = true,is_palindrome "hello" = false,is_palindrome "" = true
Write a function that converts a string to uppercase.,to_uppercase "hello" = "HELLO",to_uppercase "WORLD" = "WORLD",to_uppercase "" = ""
Write a function that converts a string to lowercase.,to_lowercase "HELLO" = "hello",to_lowercase "world" = "world",to_lowercase "" = ""
Write a function that removes all duplicates from a list.,remove_duplicates [1;2;2;3] = [1;2;3],remove_duplicates ["hello"; "world"; "hello"] = ["hello"; "world"],remove_duplicates [] = []
Write a function that rotates a list left by a given number of positions.,rotate_left 2 [1;2;3;4;5] = [3;4;5;1;2],rotate_left 3 ["a"; "b"; "c"; "d"; "e"] = ["d"; "e"; "a"; "b"; "c"],rotate_left 0 [] = []
